7.09819e-09	1.73967e-10	0
2.85166e-08	1.41543e-09	0
6.40879e-08	4.79006e-09	0
1.13538e-07	1.13333e-08	0
1.7649e-07	2.20367e-08	0
2.52478e-07	3.78357e-08	0
3.40951e-07	5.95992e-08	0
4.41291e-07	8.81223e-08	0
5.52818e-07	1.24119e-07	0
6.74809e-07	1.68222e-07	0
8.06508e-07	2.20976e-07	0
9.47136e-07	2.82842e-07	0
1.0959e-06	3.54201e-07	0
1.25202e-06	4.35352e-07	0
1.4147e-06	5.26522e-07	0
1.58318e-06	6.27867e-07	0
1.7567e-06	7.39481e-07	0
1.93455e-06	8.614e-07	0
2.11602e-06	9.9361e-07	0
2.30046e-06	1.13605e-06	0
2.48724e-06	1.28862e-06	0
2.67576e-06	1.45119e-06	0
2.86546e-06	1.62359e-06	0
3.05581e-06	1.80563e-06	0
3.24632e-06	1.99712e-06	0
3.43653e-06	2.19782e-06	0
3.62602e-06	2.40749e-06	0
3.81438e-06	2.6259e-06	0
4.00125e-06	2.85277e-06	0
4.18628e-06	3.08785e-06	0
4.36916e-06	3.33089e-06	0
4.5496e-06	3.5816e-06	0
4.72734e-06	3.83972e-06	0
4.90212e-06	4.10498e-06	0
5.07371e-06	4.37713e-06	0
5.24192e-06	4.65589e-06	0
5.40654e-06	4.94101e-06	0
5.5674e-06	5.23223e-06	0
5.72435e-06	5.5293e-06	0
5.87722e-06	5.83197e-06	0
6.02589e-06	6.13999e-06	0
6.17023e-06	6.45313e-06	0
6.31013e-06	6.77114e-06	0
6.44548e-06	7.09381e-06	0
6.57619e-06	7.4209e-06	0
6.70217e-06	7.75219e-06	0
6.82335e-06	8.08746e-06	0
6.93965e-06	8.42651e-06	0
7.051e-06	8.76911e-06	0
7.15736e-06	9.11508e-06	0
7.25865e-06	9.4642e-06	0
7.35483e-06	9.81628e-06	0
7.44587e-06	1.01711e-05	0
7.53171e-06	1.05286e-05	0
7.61233e-06	1.08884e-05	0
7.68768e-06	1.12504e-05	0
7.75775e-06	1.16144e-05	0
7.8225e-06	1.19803e-05	0
7.88192e-06	1.23478e-05	0
7.93598e-06	1.27168e-05	0
7.98466e-06	1.30872e-05	0
8.02795e-06	1.34586e-05	0
8.06585e-06	1.38311e-05	0
8.09833e-06	1.42043e-05	0
8.1254e-06	1.45782e-05	0
8.14704e-06	1.49525e-05	0
8.16325e-06	1.53272e-05	0
8.17404e-06	1.5702e-05	0
8.17939e-06	1.60767e-05	0
8.17932e-06	1.64512e-05	0
8.17384e-06	1.68254e-05	0
8.16293e-06	1.7199e-05	0
8.14663e-06	1.7572e-05	0
8.12493e-06	1.7944e-05	0
8.09785e-06	1.8315e-05	0
8.06541e-06	1.86848e-05	0
8.02762e-06	1.90532e-05	0
7.98451e-06	1.94201e-05	0
7.93611e-06	1.97852e-05	0
7.88242e-06	2.01484e-05	0
7.8235e-06	2.05095e-05	0
7.75937e-06	2.08683e-05	0
7.69007e-06	2.12246e-05	0
7.61563e-06	2.15783e-05	0
7.53612e-06	2.19292e-05	0
7.45157e-06	2.2277e-05	0
7.36203e-06	2.26216e-05	0
7.26759e-06	2.29627e-05	0
7.16828e-06	2.33002e-05	0
7.0642e-06	2.36338e-05	0
6.95542e-06	2.39633e-05	0
6.84202e-06	2.42886e-05	0
6.72411e-06	2.46094e-05	0
6.60178e-06	2.49254e-05	0
6.47515e-06	2.52364e-05	0
6.34435e-06	2.55423e-05	0
6.2095e-06	2.58426e-05	0
6.07075e-06	2.61374e-05	0
5.92826e-06	2.64261e-05	0
5.78222e-06	2.67087e-05	0
5.6328e-06	2.69849e-05	0
5.48021e-06	2.72543e-05	0
5.32468e-06	2.75168e-05	0
5.16645e-06	2.77721e-05	0
5.00578e-06	2.80199e-05	0
4.84295e-06	2.82599e-05	0
4.67829e-06	2.8492e-05	0
4.51211e-06	2.87158e-05	0
4.34477e-06	2.89311e-05	0
4.17668e-06	2.91377e-05	0
4.00824e-06	2.93353e-05	0
3.8399e-06	2.95237e-05	0
3.67214e-06	2.97027e-05	0
3.50547e-06	2.98721e-05	0
3.34044e-06	3.00318e-05	0
3.17763e-06	3.01816e-05	0
3.01764e-06	3.03214e-05	0
2.86113e-06	3.04512e-05	0
2.70876e-06	3.05709e-05	0
2.56125e-06	3.06806e-05	0
2.41931e-06	3.07804e-05	0
2.2837e-06	3.08703e-05	0
2.15517e-06	3.09507e-05	0
2.0345e-06	3.10217e-05	0
1.92247e-06	3.10838e-05	0
1.81983e-06	3.11374e-05	0
1.72733e-06	3.1183e-05	0
1.64567e-06	3.12211e-05	0
1.57555e-06	3.12526e-05	0
1.51756e-06	3.12781e-05	0
1.47227e-06	3.12985e-05	0
1.44015e-06	3.13146e-05	0
1.42159e-06	3.13275e-05	0
1.41689e-06	3.13381e-05	0
1.42624e-06	3.13474e-05	0
1.44972e-06	3.13566e-05	0
1.4873e-06	3.13666e-05	0
1.53885e-06	3.13786e-05	0
1.60414e-06	3.13935e-05	0
1.68283e-06	3.14123e-05	0
1.77447e-06	3.1436e-05	0
1.87857e-06	3.14655e-05	0
1.99454e-06	3.15014e-05	0
2.12172e-06	3.15446e-05	0
2.25943e-06	3.15957e-05	0
2.40694e-06	3.16552e-05	0
2.56349e-06	3.17237e-05	0
2.72831e-06	3.18015e-05	0
2.90062e-06	3.1889e-05	0
3.07967e-06	3.19864e-05	0
3.26469e-06	3.20939e-05	0
3.45494e-06	3.22116e-05	0
3.6497e-06	3.23395e-05	0
3.84829e-06	3.24777e-05	0
4.05003e-06	3.26261e-05	0
